StyleID,EventID,StartingInventory,QuantitySold,Cost,Price,MSRP,Department,Month,EventStartTime,EventStartDOW,ShippingMethod
9595,254,13,13,5,9.99,28,Footwear,Oct,10:00,Saturday,F
20049,209,73,73,5,9.99,46,Footwear,Oct,10:00,Wednesday,F
28795,279,6,6,5,9.99,47,Footwear,Oct,10:00,Wednesday,F
28104,249,26,26,5,9.99,29,Footwear,Oct,10:00,Thursday,F
9603,304,74,74,5,9.99,37,Footwear,Oct,10:00,Thursday,F
29408,284,23,23,5,9.99,41,Footwear,Oct,10:00,Monday,F
11235,224,27,27,5,9.99,40,Footwear,Oct,10:00,Sunday,F
28048,284,20,20,5,9.99,50,Footwear,Oct,10:00,Monday,F
6666,314,9,9,5,9.99,27,Footwear,Oct,10:00,Thursday,F
28707,209,10,10,5,9.99,42,Footwear,Oct,10:00,Wednesday,F
5864,284,14,14,5,9.99,29,Footwear,Oct,10:00,Monday,F
24139,304,19,19,5,9.99,28,Footwear,Oct,10:00,Thursday,F
14551,224,20,20,5,9.99,41,Footwear,Oct,10:00,Sunday,F
28753,269,140,65,5,9.99,50,Footwear,Nov,17:00,Thursday,F
25262,299,92,75,5,9.99,30,Footwear,Nov,17:00,Monday,F
13445,269,96,79,5,9.99,49,Footwear,Nov,17:00,Thursday,F
9991,229,102,87,5,9.99,47,Footwear,Nov,17:00,Monday,F
12560,229,108,96,5,9.99,43,Footwear,Nov,17:00,Monday,F
10048,244,118,111,5,9.99,31,Footwear,Nov,17:00,Monday,F
869,234,30,30,5,9.99,32,Footwear,Nov,17:00,Tuesday,F
22680,299,25,25,5,9.99,41,Footwear,Nov,17:00,Monday,F
13416,234,26,26,5,9.99,47,Footwear,Nov,17:00,Tuesday,F
5960,274,63,63,5,9.99,28,Footwear,Nov,17:00,Thursday,F
22571,244,90,90,5,9.99,37,Footwear,Nov,17:00,Monday,F
21824,254,121,48,11,9.99,45,Footwear,Oct,10:00,Saturday,F
9033,309,65,65,11,9.99,94,Footwear,Oct,10:00,Friday,F
8939,259,6,6,11,9.99,58,Footwear,Oct,10:00,Tuesday,F
25831,289,32,32,11,9.99,44,Footwear,Oct,10:00,Wednesday,F
25918,284,33,33,11,9.99,50,Footwear,Oct,10:00,Monday,F
10668,170,24,24,11,9.99,49,Men's Apparel,Oct,10:00,Thursday,F
4496,180,59,59,11,9.99,64,Men's Apparel,Oct,10:00,Tuesday,F
17144,770,97,83,11,9.99,64,Women's Apparel,Nov,10:00,Thursday,F
4103,770,14,14,11,9.99,40,Women's Apparel,Nov,10:00,Thursday,F
21305,715,55,55,11,9.99,79,Women's Apparel,Oct,10:00,Tuesday,F
4799,725,134,65,11,9.99,61,Women's Apparel,Oct,10:00,Friday,D
25983,350,62,62,11,9.99,76,Women's Apparel,Oct,10:00,Saturday,D
1840,725,83,83,11,9.99,40,Women's Apparel,Oct,10:00,Friday,D
8932,950,71,71,11,9.99,64,Women's Apparel,Nov,10:00,Tuesday,D
6453,229,49,49,11,9.99,42,Footwear,Nov,17:00,Monday,F
1897,365,160,127,11,9.99,82,Women's Apparel,Nov,17:00,Tuesday,F
20877,675,127,81,11,9.99,52,Women's Apparel,Nov,17:00,Wednesday,D
4823,260,135,50,10,9.99,85,Footwear,Oct,10:00,Wednesday,F
16860,214,130,55,10,9.99,41,Footwear,Oct,10:00,Monday,F
2645,249,90,46,10,9.99,26,Footwear,Oct,10:00,Thursday,F
2450,249,74,45,10,9.99,34,Footwear,Oct,10:00,Thursday,F
1730,310,132,98,10,9.99,33,Footwear,Oct,10:00,Tuesday,F
15278,290,114,86,10,9.99,46,Footwear,Oct,10:00,Wednesday,F
20013,210,146,112,10,9.99,88,Footwear,Oct,10:00,Monday,F
6217,295,112,86,10,9.99,61,Footwear,Oct,10:00,Tuesday,F
24055,220,135,107,10,9.99,55,Footwear,Oct,10:00,Monday,F
3939,309,100,87,10,9.99,34,Footwear,Oct,10:00,Friday,F
8936,209,101,92,10,9.99,44,Footwear,Oct,10:00,Wednesday,F
10586,224,99,91,10,9.99,46,Footwear,Oct,10:00,Sunday,F
3999,305,134,125,10,9.99,88,Footwear,Oct,10:00,Saturday,F
22111,260,141,141,10,9.99,85,Footwear,Oct,10:00,Wednesday,F
4847,209,90,90,10,9.99,43,Footwear,Oct,10:00,Wednesday,F
22869,270,67,67,10,9.99,52,Footwear,Oct,10:00,Friday,F
20400,254,26,26,10,9.99,40,Footwear,Oct,10:00,Saturday,F
20824,249,63,63,10,9.99,42,Footwear,Oct,10:00,Thursday,F
3069,314,14,14,10,9.99,50,Footwear,Oct,10:00,Thursday,F
17332,239,12,12,10,9.99,42,Footwear,Oct,10:00,Friday,F
29815,239,64,64,10,9.99,46,Footwear,Oct,10:00,Friday,F
6717,259,34,34,10,9.99,27,Footwear,Oct,10:00,Tuesday,F
15287,239,15,15,10,9.99,44,Footwear,Oct,10:00,Friday,F
19649,224,31,31,10,9.99,47,Footwear,Oct,10:00,Sunday,F
21541,310,38,38,10,9.99,40,Footwear,Oct,10:00,Tuesday,F
8501,249,20,20,10,9.99,58,Footwear,Oct,10:00,Thursday,F
14878,304,34,34,10,9.99,25,Footwear,Oct,10:00,Thursday,F
23918,290,10,10,10,9.99,94,Footwear,Oct,10:00,Wednesday,F
15942,309,61,61,10,9.99,39,Footwear,Oct,10:00,Friday,F
8591,294,74,74,10,9.99,49,Footwear,Oct,10:00,Monday,F
5596,279,68,68,10,9.99,70,Footwear,Oct,10:00,Wednesday,F
6272,309,29,29,10,9.99,39,Footwear,Oct,10:00,Friday,F
28471,210,21,21,10,9.99,58,Footwear,Oct,10:00,Monday,F
27324,249,27,27,10,9.99,31,Footwear,Oct,10:00,Thursday,F
25393,230,28,28,10,9.99,85,Footwear,Oct,10:00,Monday,F
14311,294,30,30,10,9.99,25,Footwear,Oct,10:00,Monday,F
12995,210,39,39,10,9.99,79,Footwear,Oct,10:00,Monday,F
6771,214,39,39,10,9.99,33,Footwear,Oct,10:00,Monday,F
7160,250,103,53,10,9.99,46,Footwear,Oct,10:00,Friday,D
13287,250,51,51,10,9.99,52,Footwear,Oct,10:00,Friday,D
14602,225,26,26,10,9.99,85,Footwear,Oct,10:00,Thursday,D
1616,275,27,27,10,9.99,73,Footwear,Oct,10:00,Wednesday,D
20501,55,151,99,10,9.99,58,Men's Apparel,Oct,10:00,Monday,F
23584,90,119,79,10,9.99,43,Men's Apparel,Oct,10:00,Monday,F
7575,45,104,79,10,9.99,88,Men's Apparel,Oct,10:00,Friday,F
25871,190,122,94,10,9.99,70,Men's Apparel,Oct,10:00,Tuesday,F
4127,60,123,97,10,9.99,48,Men's Apparel,Oct,10:00,Tuesday,F
21829,170,113,90,10,9.99,70,Men's Apparel,Oct,10:00,Thursday,F
12889,90,99,81,10,9.99,70,Men's Apparel,Oct,10:00,Monday,F
1591,40,96,96,10,9.99,40,Men's Apparel,Oct,10:00,Thursday,F
25176,145,129,129,10,9.99,61,Men's Apparel,Oct,10:00,Tuesday,F
18596,30,29,29,10,9.99,58,Men's Apparel,Oct,10:00,Monday,F
11567,180,12,12,10,9.99,64,Men's Apparel,Oct,10:00,Tuesday,F
29733,190,37,37,10,9.99,76,Men's Apparel,Oct,10:00,Tuesday,F
18129,190,3,3,10,9.99,70,Men's Apparel,Oct,10:00,Tuesday,F
4886,15,27,27,10,9.99,55,Men's Apparel,Oct,10:00,Wednesday,F
23695,165,29,29,10,9.99,91,Men's Apparel,Oct,10:00,Monday,F
12446,180,16,16,10,9.99,76,Men's Apparel,Oct,10:00,Tuesday,F
25719,80,92,92,10,9.99,70,Men's Apparel,Oct,10:00,Monday,F
19631,39,23,23,10,9.99,85,Men's Apparel,Dec,10:00,Tuesday,F
12847,129,1,1,10,9.99,48,Men's Apparel,Oct,10:00,Tuesday,F
17146,105,3,3,10,9.99,40,Men's Apparel,Oct,10:00,Friday,F
5345,145,3,3,10,9.99,33,Men's Apparel,Oct,10:00,Tuesday,F
27244,20,12,12,10,9.99,88,Men's Apparel,Oct,10:00,Wednesday,F
21518,40,21,21,10,9.99,49,Men's Apparel,Oct,10:00,Thursday,F
29329,179,47,47,10,9.99,40,Men's Apparel,Oct,10:00,Sunday,F
4234,30,65,65,10,9.99,91,Men's Apparel,Oct,10:00,Monday,F
6873,175,94,81,10,9.99,33,Men's Apparel,Oct,10:00,Wednesday,D
19530,175,118,102,10,9.99,91,Men's Apparel,Oct,10:00,Wednesday,D
18221,200,52,52,10,9.99,85,Men's Apparel,Oct,10:00,Thursday,D
15290,720,142,50,10,9.99,49,Women's Apparel,Oct,10:00,Saturday,F
22303,460,148,62,10,9.99,67,Women's Apparel,Oct,10:00,Thursday,F
24864,630,130,65,10,9.99,73,Women's Apparel,Oct,10:00,Thursday,F
19452,715,127,65,10,9.99,40,Women's Apparel,Oct,10:00,Tuesday,F
22281,785,123,65,10,9.99,58,Women's Apparel,Nov,10:00,Monday,F
24388,824,109,59,10,9.99,27,Women's Apparel,Dec,10:00,Friday,F
7788,905,109,63,10,9.99,52,Women's Apparel,Nov,10:00,Tuesday,F
4068,655,124,81,10,9.99,82,Women's Apparel,Oct,10:00,Sunday,F
10997,530,111,83,10,9.99,58,Women's Apparel,Oct,10:00,Friday,F
13831,765,124,95,10,9.99,64,Women's Apparel,Nov,10:00,Friday,F
23720,529,116,94,10,9.99,31,Women's Apparel,Dec,10:00,Sunday,F
4801,660,89,73,10,9.99,88,Women's Apparel,Oct,10:00,Friday,F
272,690,110,93,10,9.99,85,Women's Apparel,Oct,10:00,Friday,F
7057,805,126,111,10,9.99,88,Women's Apparel,Nov,10:00,Sunday,F
22338,945,147,136,10,9.99,85,Women's Apparel,Nov,10:00,Wednesday,F
5605,820,113,109,10,9.99,94,Women's Apparel,Nov,10:00,Saturday,F
23480,590,118,114,10,9.99,91,Women's Apparel,Oct,10:00,Tuesday,F
9800,680,79,77,10,9.99,61,Women's Apparel,Oct,10:00,Sunday,F
20386,940,144,144,10,9.99,70,Women's Apparel,Nov,10:00,Thursday,F
23576,685,85,85,10,9.99,46,Women's Apparel,Oct,10:00,Thursday,F
3950,970,116,116,10,9.99,91,Women's Apparel,Nov,10:00,Monday,F
21699,704,8,8,10,9.99,46,Women's Apparel,Dec,10:00,Tuesday,F
3232,924,25,25,10,9.99,42,Women's Apparel,Dec,10:00,Thursday,F
18365,839,13,13,10,9.99,43,Women's Apparel,Dec,10:00,Sunday,F
11579,505,93,93,10,9.99,85,Women's Apparel,Oct,10:00,Friday,F
22632,980,75,75,10,9.99,91,Women's Apparel,Nov,10:00,Friday,F
15712,720,80,80,10,9.99,67,Women's Apparel,Oct,10:00,Saturday,F
27166,345,45,45,10,9.99,40,Women's Apparel,Oct,10:00,Monday,F
11967,585,16,16,10,9.99,45,Women's Apparel,Oct,10:00,Saturday,F
2474,990,70,70,10,9.99,40,Women's Apparel,Nov,10:00,Tuesday,F
20472,790,39,39,10,9.99,94,Women's Apparel,Nov,10:00,Thursday,F
14772,740,12,12,10,9.99,40,Women's Apparel,Oct,10:00,Monday,F
4279,755,6,6,10,9.99,91,Women's Apparel,Nov,10:00,Monday,F
21124,759,12,12,10,9.99,47,Women's Apparel,Dec,10:00,Thursday,F
9964,870,25,25,10,9.99,61,Women's Apparel,Nov,10:00,Wednesday,F
14221,619,75,75,10,9.99,42,Women's Apparel,Dec,10:00,Sunday,F
28566,919,45,45,10,9.99,45,Women's Apparel,Dec,10:00,Wednesday,F
5579,540,7,7,10,9.99,33,Women's Apparel,Oct,10:00,Thursday,F
20979,445,7,7,10,9.99,82,Women's Apparel,Oct,10:00,Sunday,F
19336,835,52,52,10,9.99,41,Women's Apparel,Nov,10:00,Tuesday,F
15610,970,76,76,10,9.99,76,Women's Apparel,Nov,10:00,Monday,F
20454,560,126,126,10,9.99,85,Women's Apparel,Oct,10:00,Tuesday,F
6344,674,24,24,10,9.99,42,Women's Apparel,Dec,10:00,Monday,F
4561,495,61,61,10,9.99,82,Women's Apparel,Oct,10:00,Tuesday,F
12881,930,83,83,10,9.99,85,Women's Apparel,Nov,10:00,Sunday,F
4545,540,58,58,10,9.99,43,Women's Apparel,Oct,10:00,Thursday,F
26040,344,64,64,10,9.99,40,Women's Apparel,Dec,10:00,Saturday,F
14446,895,27,27,10,9.99,76,Women's Apparel,Nov,10:00,Monday,F
1139,460,51,51,10,9.99,76,Women's Apparel,Oct,10:00,Thursday,F
8025,789,65,65,10,9.99,42,Women's Apparel,Dec,10:00,Tuesday,F
18712,470,74,74,10,9.99,88,Women's Apparel,Oct,10:00,Friday,F
14092,630,16,16,10,9.99,55,Women's Apparel,Oct,10:00,Thursday,F
30348,435,32,32,10,9.99,55,Women's Apparel,Oct,10:00,Sunday,F
11020,880,25,25,10,9.99,48,Women's Apparel,Nov,10:00,Saturday,F
24872,540,9,9,10,9.99,88,Women's Apparel,Oct,10:00,Thursday,F
18029,805,29,29,10,9.99,55,Women's Apparel,Nov,10:00,Sunday,F
3090,905,20,20,10,9.99,35,Women's Apparel,Nov,10:00,Tuesday,F
10653,495,15,15,10,9.99,88,Women's Apparel,Oct,10:00,Tuesday,F
16140,680,99,99,10,9.99,91,Women's Apparel,Oct,10:00,Sunday,F
9667,660,17,17,10,9.99,46,Women's Apparel,Oct,10:00,Friday,F
8928,345,14,14,10,9.99,94,Women's Apparel,Oct,10:00,Monday,F
29680,840,14,14,10,9.99,76,Women's Apparel,Nov,10:00,Monday,F
24490,380,19,19,10,9.99,76,Women's Apparel,Oct,10:00,Monday,F
21489,595,19,19,10,9.99,43,Women's Apparel,Oct,10:00,Thursday,F
754,699,19,19,10,9.99,44,Women's Apparel,Dec,10:00,Wednesday,F
547,785,27,27,10,9.99,82,Women's Apparel,Nov,10:00,Monday,F
2328,460,32,32,10,9.99,43,Women's Apparel,Oct,10:00,Thursday,F
27014,575,148,83,10,9.99,88,Women's Apparel,Oct,10:00,Friday,D
623,450,115,73,10,9.99,58,Women's Apparel,Oct,10:00,Monday,D
7422,825,107,105,10,9.99,94,Women's Apparel,Nov,10:00,Friday,D
16328,975,19,19,10,9.99,52,Women's Apparel,Nov,10:00,Thursday,D
29911,725,8,8,10,9.99,61,Women's Apparel,Oct,10:00,Friday,D
15504,500,84,84,10,9.99,94,Women's Apparel,Oct,10:00,Tuesday,D
27878,625,59,59,10,9.99,58,Women's Apparel,Oct,10:00,Tuesday,D
29105,900,28,28,10,9.99,49,Women's Apparel,Nov,10:00,Tuesday,D
9592,1000,30,30,10,9.99,58,Women's Apparel,Nov,10:00,Thursday,D
28368,875,6,6,10,9.99,91,Women's Apparel,Nov,10:00,Thursday,D
6642,900,21,21,10,9.99,58,Women's Apparel,Nov,10:00,Tuesday,D
15944,925,13,13,10,9.99,43,Women's Apparel,Nov,10:00,Monday,D
1138,725,33,33,10,9.99,73,Women's Apparel,Oct,10:00,Friday,D
14628,475,56,56,10,9.99,76,Women's Apparel,Oct,10:00,Saturday,D
17475,325,57,57,10,9.99,52,Women's Apparel,Oct,10:00,Tuesday,D
13921,700,59,59,10,9.99,76,Women's Apparel,Oct,10:00,Wednesday,D
7204,264,70,70,10,9.99,32,Footwear,Nov,17:00,Monday,F
24435,235,23,23,10,9.99,43,Footwear,Nov,17:00,Sunday,F
23439,285,26,26,10,9.99,40,Footwear,Nov,17:00,Tuesday,F
8026,245,48,48,10,9.99,58,Footwear,Nov,17:00,Sunday,F
14440,264,49,49,10,9.99,37,Footwear,Nov,17:00,Monday,F
21934,234,18,18,10,9.99,94,Footwear,Nov,17:00,Tuesday,F
15285,280,6,6,10,9.99,32,Footwear,Nov,17:00,Tuesday,F
18924,269,12,12,10,9.99,29,Footwear,Nov,17:00,Thursday,F
27764,149,114,85,10,9.99,41,Men's Apparel,Nov,17:00,Thursday,F
9819,5,139,116,10,9.99,70,Men's Apparel,Nov,17:00,Tuesday,F
7187,5,119,119,10,9.99,64,Men's Apparel,Nov,17:00,Tuesday,F
7935,155,31,31,10,9.99,40,Men's Apparel,Nov,17:00,Thursday,F
29030,10,18,18,10,9.99,61,Men's Apparel,Nov,17:00,Monday,F
6224,120,14,14,10,9.99,76,Men's Apparel,Nov,17:00,Saturday,F
10049,185,75,75,10,9.99,40,Men's Apparel,Nov,17:00,Thursday,F
16031,205,13,13,10,9.99,58,Men's Apparel,Nov,17:00,Monday,F
14965,5,21,21,10,9.99,67,Men's Apparel,Nov,17:00,Tuesday,F
21121,95,32,32,10,9.99,64,Men's Apparel,Nov,17:00,Thursday,F
1059,94,31,31,10,9.99,34,Men's Apparel,Nov,17:00,Tuesday,F
24342,70,46,46,10,9.99,46,Men's Apparel,Nov,17:00,Thursday,F
24178,25,105,80,10,9.99,52,Men's Apparel,Nov,17:00,Friday,D
25133,150,22,22,10,9.99,43,Men's Apparel,Nov,17:00,Sunday,D
8931,320,102,64,10,9.99,49,Women's Apparel,Nov,17:00,Tuesday,F
11142,390,167,124,10,9.99,79,Women's Apparel,Nov,17:00,Thursday,F
29638,705,92,69,10,9.99,40,Women's Apparel,Nov,17:00,Wednesday,F
27852,440,122,94,10,9.99,40,Women's Apparel,Nov,17:00,Wednesday,F
8634,605,92,71,10,9.99,26,Women's Apparel,Nov,17:00,Friday,F
22183,330,112,97,10,9.99,82,Women's Apparel,Nov,17:00,Monday,F
27495,705,95,89,10,9.99,64,Women's Apparel,Nov,17:00,Wednesday,F
29143,640,99,93,10,9.99,82,Women's Apparel,Nov,17:00,Sunday,F
7669,760,88,85,10,9.99,79,Women's Apparel,Nov,17:00,Sunday,F
5761,390,89,87,10,9.99,85,Women's Apparel,Nov,17:00,Thursday,F
14195,399,104,104,10,9.99,41,Women's Apparel,Dec,17:00,Sunday,F
2106,330,18,18,10,9.99,67,Women's Apparel,Nov,17:00,Monday,F
22705,620,48,48,10,9.99,76,Women's Apparel,Nov,17:00,Sunday,F
2245,455,10,10,10,9.99,40,Women's Apparel,Nov,17:00,Wednesday,F
23616,653,101,101,10,9.99,49,Women's Apparel,Dec,17:00,Friday,F
6959,695,107,107,10,9.99,73,Women's Apparel,Nov,17:00,Tuesday,F
14158,695,9,9,10,9.99,52,Women's Apparel,Nov,17:00,Tuesday,F
30130,479,35,35,10,9.99,31,Women's Apparel,Dec,17:00,Wednesday,F
1685,960,14,14,10,9.99,64,Women's Apparel,Nov,17:00,Monday,F
15901,455,29,29,10,9.99,94,Women's Apparel,Nov,17:00,Wednesday,F
10051,415,20,20,10,9.99,58,Women's Apparel,Nov,17:00,Monday,F
8301,855,22,22,10,9.99,91,Women's Apparel,Nov,17:00,Monday,F
91,865,74,74,10,9.99,70,Women's Apparel,Nov,17:00,Tuesday,F
6667,855,34,34,10,9.99,33,Women's Apparel,Nov,17:00,Monday,F
13528,520,10,10,10,9.99,49,Women's Apparel,Nov,17:00,Monday,F
24044,355,20,20,10,9.99,64,Women's Apparel,Nov,17:00,Wednesday,F
16744,910,25,25,10,9.99,49,Women's Apparel,Nov,17:00,Monday,F
8879,320,76,76,10,9.99,46,Women's Apparel,Nov,17:00,Tuesday,F
7570,330,36,36,10,9.99,61,Women's Apparel,Nov,17:00,Monday,F
29377,702,8,8,10,9.99,35,Women's Apparel,Nov,17:00,Monday,F
29308,480,22,22,10,9.99,64,Women's Apparel,Nov,17:00,Friday,F
14888,610,13,13,10,9.99,85,Women's Apparel,Nov,17:00,Wednesday,F
28074,872,22,22,10,9.99,46,Women's Apparel,Nov,17:00,Monday,F
1391,320,23,23,10,9.99,91,Women's Apparel,Nov,17:00,Tuesday,F
12481,730,7,7,10,9.99,76,Women's Apparel,Nov,17:00,Tuesday,F
16960,695,15,15,10,9.99,70,Women's Apparel,Nov,17:00,Tuesday,F
18200,514,16,16,10,9.99,30,Women's Apparel,Dec,17:00,Monday,F
8483,355,21,21,10,9.99,31,Women's Apparel,Nov,17:00,Wednesday,F
7536,410,24,24,10,9.99,55,Women's Apparel,Nov,17:00,Wednesday,F
29538,710,24,24,10,9.99,85,Women's Apparel,Nov,17:00,Friday,F
5757,545,25,25,10,9.99,55,Women's Apparel,Nov,17:00,Tuesday,F
12095,705,27,27,10,9.99,64,Women's Apparel,Nov,17:00,Wednesday,F
14240,385,35,35,10,9.99,64,Women's Apparel,Nov,17:00,Wednesday,F
22596,610,35,35,10,9.99,79,Women's Apparel,Nov,17:00,Wednesday,F
26400,510,66,66,10,9.99,55,Women's Apparel,Nov,17:00,Wednesday,F
17157,550,133,126,10,9.99,85,Women's Apparel,Nov,17:00,Monday,D
10561,800,26,26,10,9.99,40,Women's Apparel,Nov,17:00,Saturday,D
5904,600,42,42,10,9.99,91,Women's Apparel,Nov,17:00,Thursday,D
29879,675,5,5,10,9.99,85,Women's Apparel,Nov,17:00,Wednesday,D
15481,650,76,76,10,9.99,43,Women's Apparel,Nov,17:00,Friday,D
28547,224,117,49,9,9.99,44,Footwear,Oct,10:00,Sunday,F
4840,289,147,71,9,9.99,45,Footwear,Oct,10:00,Wednesday,F
12802,309,128,68,9,9.99,94,Footwear,Oct,10:00,Friday,F
14449,304,86,47,9,9.99,27,Footwear,Oct,10:00,Thursday,F
4772,304,92,55,9,9.99,48,Footwear,Oct,10:00,Thursday,F
4201,309,88,64,9,9.99,33,Footwear,Oct,10:00,Friday,F
9608,224,79,71,9,9.99,28,Footwear,Oct,10:00,Sunday,F
28625,209,106,100,9,9.99,39,Footwear,Oct,10:00,Wednesday,F
5334,224,127,127,9,9.99,39,Footwear,Oct,10:00,Sunday,F
16238,259,92,92,9,9.99,27,Footwear,Oct,10:00,Tuesday,F
21558,224,100,100,9,9.99,45,Footwear,Oct,10:00,Sunday,F
9920,249,114,114,9,9.99,34,Footwear,Oct,10:00,Thursday,F
13685,254,3,3,9,9.99,46,Footwear,Oct,10:00,Saturday,F
14162,304,35,35,9,9.99,45,Footwear,Oct,10:00,Thursday,F
5458,219,6,6,9,9.99,29,Footwear,Oct,10:00,Wednesday,F
26761,279,14,14,9,9.99,45,Footwear,Oct,10:00,Wednesday,F
27433,294,27,27,9,9.99,33,Footwear,Oct,10:00,Monday,F
28733,214,20,20,9,9.99,36,Footwear,Oct,10:00,Monday,F
22394,284,22,22,9,9.99,36,Footwear,Oct,10:00,Monday,F
8775,219,92,92,9,9.99,70,Footwear,Oct,10:00,Wednesday,F
20922,254,28,28,9,9.99,32,Footwear,Oct,10:00,Saturday,F
23837,294,19,19,9,9.99,94,Footwear,Oct,10:00,Monday,F
19370,209,47,47,9,9.99,49,Footwear,Oct,10:00,Wednesday,F
25955,304,49,49,9,9.99,47,Footwear,Oct,10:00,Thursday,F
17401,259,20,20,9,9.99,34,Footwear,Oct,10:00,Tuesday,F
15554,309,63,63,9,9.99,38,Footwear,Oct,10:00,Friday,F
11316,249,3,3,9,9.99,38,Footwear,Oct,10:00,Thursday,F
3151,224,9,9,9,9.99,42,Footwear,Oct,10:00,Sunday,F
15853,289,11,11,9,9.99,58,Footwear,Oct,10:00,Wednesday,F
11856,314,30,30,9,9.99,30,Footwear,Oct,10:00,Thursday,F
