personid,appyear,gpa,stem,schoolsel,major1,major2,minor,major1group,major2group,minorgroup,undergrad_uni,essay1length,essay2length,essay3length,essayuniquewords,essayssentiment,signupdate,starteddate,appdeadline,submitteddate,attendedevent,completedadm
431,2015-16,2.7,0,unknown,political science,none,sociology,social sciences,none,social sciences,other,268,250,175,327,0.070860266,0,0,September,0,0,1
433,2015-16,2.34,0,more_selective,communications,none,economics,business,none,social sciences,other,209,268,231,313,0.399034699,38,38,October,38,0,1
434,2015-16,3.8,0,more_selective,political science,none,history,social sciences,none,humanities,other,293,290,289,404,0.125820521,32,10,October,1,1,1
435,2015-16,3,1,selective,english,none,other,humanities,none,other,school 1653,233,114,95,256,0.2624991,75,75,October,27,0,1
451,2015-16,2.8,0,most_selective,management,none,none,business,none,none,school 1839,298,229,162,351,0.063652251,16,16,October,4,0,1
453,2015-16,2.83,0,selective,psychology,none,none,social sciences,none,none,other,76,180,176,213,0.550912369,16,16,August,-1,0,1
462,2015-16,3.45,0,more_selective,other,none,business,other,none,business,school 401,290,286,282,419,-0.045025064,144,64,October,0,0,1
471,2015-16,3.18,0,less_selective,other,none,none,other,none,none,other,278,285,296,429,0.277012995,37,37,October,32,0,1
473,2015-16,3.38,0,most_selective,history,none,none,humanities,none,none,other,263,288,292,407,-0.006998904,11,11,October,2,0,1
508,2015-16,3.78,0,less_selective,english,philosophy,none,humanities,humanities,none,other,275,292,293,430,-0.218633897,7,7,October,2,0,1
520,2015-16,3.69,0,more_selective,journalism,none,none,business,none,none,other,291,296,237,375,-0.077289724,9,9,August,0,0,1
525,2015-16,3.23,1,more_selective,other,none,none,other,none,none,other,295,298,295,401,-0.150961346,15,15,September,0,0,1
526,2015-16,3.05,0,more_selective,political science,none,none,social sciences,none,none,other,103,98,130,157,0.251799018,17,17,October,0,0,1
532,2015-16,3.17,0,most_selective,sociology,none,education (general),social sciences,none,education,school 155,291,292,287,425,0.319271375,30,30,October,0,0,1
533,2015-16,3.65,0,selective,journalism,none,none,business,none,none,other,265,280,240,389,0.386654821,10,10,October,2,1,1
541,2015-16,3.21594481,0,unknown,other,english,none,other,humanities,none,foreign university,299,93,101,255,0.380433276,5,5,October,0,0,1
544,2015-16,3.93,0,most_selective,economics,management,none,social sciences,business,none,other,293,285,296,403,0.337516899,54,54,October,0,0,1
554,2015-16,3.33,1,more_selective,other,none,other,other,none,other,other,284,279,244,348,-0.082914684,70,70,October,11,0,1
572,2015-16,3.61,0,more_selective,other,none,communications,other,none,business,other,160,182,286,279,0.251111193,12,12,October,0,0,1
579,2015-16,3.83,0,most_selective,other,none,none,other,none,none,other,269,289,260,360,0.205636542,74,74,October,1,0,1
599,2015-16,3.07,0,more_selective,education (elementary),none,none,education,none,none,school 166,241,290,234,337,0.181979232,17,17,August,3,0,1
627,2015-16,3.66,0,most_selective,history,none,other,humanities,none,other,school 488,237,186,240,313,-0.040446282,130,1,September,1,0,1
632,2015-16,3.6,1,more_selective,other,none,other,other,none,other,other,296,278,291,421,0.216616336,37,37,September,1,0,1
661,2015-16,3.79,0,most_selective,economics,international studies/relations,none,social sciences,social sciences,none,other,296,297,289,403,0.16570064,11,11,August,2,0,1
666,2015-16,3.2,0,more_selective,english,none,other,humanities,none,other,other,295,274,296,421,-0.427098581,78,78,October,0,0,1
675,2015-16,3.76,0,most_selective,communications,none,none,business,none,none,other,193,277,271,318,0.061661785,194,82,October,5,0,1
676,2015-16,3.25,0,more_selective,english,none,none,humanities,none,none,school 1170,225,268,282,342,0.309112277,64,17,August,0,0,1
680,2015-16,3.54,0,more_selective,international studies/relations,none,other,social sciences,none,other,other,285,209,96,268,-0.05218148,44,44,October,44,0,1
709,2015-16,3.33,0,more_selective,economics,none,none,social sciences,none,none,school 1170,279,258,288,382,0.133656491,17,17,October,0,0,1
710,2015-16,3.81,0,more_selective,english,other,none,humanities,other,none,other,291,291,272,404,-0.635746687,20,20,October,0,1,1
717,2015-16,3.52,0,more_selective,communications,none,none,business,none,none,other,296,299,288,398,-0.271075963,39,39,October,7,0,1
757,2015-16,3.08,0,more_selective,spanish,other,none,humanities,other,none,other,273,299,246,385,0.237769768,72,72,October,4,0,1
763,2015-16,3.41,0,more_selective,other,communications,other,other,business,other,school 663,299,296,275,419,0.083455479,89,83,October,0,1,1
764,2015-16,3.65,0,more_selective,other,none,none,other,none,none,other,293,289,286,406,0.354774728,10,10,September,2,0,1
774,2015-16,3.2,0,most_selective,history,none,none,humanities,none,none,other,176,189,152,267,0.37711547,50,4,August,4,0,1
801,2015-16,2.87,1,most_selective,other,none,none,other,none,none,other,207,235,291,372,0.13235921,24,24,October,0,0,1
803,2015-16,3.65,0,more_selective,english,none,none,humanities,none,none,other,296,296,144,353,0.712221473,41,41,September,0,0,1
805,2015-16,3.22,0,selective,other,none,none,other,none,none,other,248,283,297,375,-0.044194183,23,23,September,0,0,1
809,2015-16,3.78,0,more_selective,political science,none,philosophy,social sciences,none,humanities,other,205,233,202,286,0.229289577,3,3,September,0,1,1
812,2015-16,3.38,0,more_selective,history,other,other,humanities,other,other,other,267,291,195,371,0.109425551,79,79,October,37,0,1
824,2015-16,3.93,0,most_selective,other,none,education (general),other,none,education,other,291,295,297,432,-0.148482718,15,15,September,1,0,1
825,2015-16,2.9,0,most_selective,english,other,none,humanities,other,none,school 670,298,295,291,431,-0.123069967,46,45,October,0,0,1
830,2015-16,2.93,0,more_selective,spanish,none,other,humanities,none,other,other,114,187,149,215,0.123788998,64,64,October,1,0,1
833,2015-16,2.92,0,more_selective,sociology,psychology,none,social sciences,social sciences,none,other,295,292,272,370,0.22613979,75,75,October,0,1,1
836,2015-16,3.11,1,selective,chemistry,none,criminal justice,stem,none,social sciences,other,238,280,292,341,0.141833498,141,50,October,1,0,1
837,2015-16,3.51,0,most_selective,english,none,none,humanities,none,none,other,254,274,272,356,0.344459592,48,48,October,-1,0,1
840,2015-16,3.71,0,most_selective,history,none,none,humanities,none,none,other,294,298,292,390,-0.417254318,14,14,October,14,1,1
841,2015-16,3.23,0,more_selective,political science,none,education (general),social sciences,none,education,other,286,292,294,415,0.035927316,25,25,October,1,0,1
843,2015-16,3.66,0,less_selective,other,none,none,other,none,none,other,266,281,197,367,0.677523576,14,14,October,14,0,1
850,2015-16,3.54,0,more_selective,english,none,other,humanities,none,other,other,274,293,242,323,0.004992631,29,29,October,20,0,1
852,2015-16,3.78,1,more_selective,other,none,none,other,none,none,other,297,297,297,423,-0.090863012,24,7,October,1,1,1
856,2015-16,3.69,0,more_selective,other,political science,education (secondary),other,social sciences,education,other,246,255,165,335,0.277710713,44,44,October,2,1,1
863,2015-16,3.99,0,more_selective,education (general),none,sociology,education,none,social sciences,other,281,294,223,363,0.46729406,116,47,October,0,0,1
865,2015-16,3.45,0,selective,business,none,other,business,none,other,other,229,167,132,265,-0.004329493,32,32,October,26,1,1
868,2015-16,3.27,0,more_selective,communications,none,other,business,none,other,other,294,296,274,420,0.444000791,73,73,October,0,0,1
877,2015-16,3.1,0,more_selective,sociology,none,none,social sciences,none,none,school 959,280,295,290,389,-0.240748969,6,6,October,1,0,1
898,2015-16,3.56,0,more_selective,economics,none,other,social sciences,none,other,other,288,291,297,349,-0.240111329,23,23,September,3,0,1
899,2015-16,3.9,1,selective,mathematics,none,spanish,stem,none,humanities,other,293,273,291,393,0.086476632,31,31,October,0,0,1
902,2015-16,2.53,0,more_selective,english,none,business,humanities,none,business,other,291,298,263,376,0.231257985,39,39,October,0,0,1
907,2015-16,3.98,0,most_selective,other,none,education (general),other,none,education,school 1839,296,294,293,417,-0.240401804,29,29,September,4,0,1
908,2015-16,3.99,0,most_selective,sociology,none,other,social sciences,none,other,other,295,285,292,409,0.08151647,50,50,October,0,1,1
909,2015-16,3.3,1,more_selective,other,none,psychology,other,none,social sciences,other,298,297,299,411,0.085142632,5,5,October,1,0,1
910,2015-16,3.02,0,more_selective,english,education (secondary),sociology,humanities,education,social sciences,other,206,286,232,360,-0.324868855,42,42,October,16,0,1
920,2015-16,3.65,0,most_selective,other,none,none,other,none,none,other,293,294,297,429,-0.186494304,88,42,September,0,0,1
924,2015-16,3.85,0,more_selective,education (general),none,none,education,none,none,school 221,273,246,286,348,0.266288053,67,67,October,0,0,1
926,2015-16,3.05,0,more_selective,psychology,none,none,social sciences,none,none,other,275,257,287,366,-0.057983009,5,5,October,0,0,1
930,2015-16,3.95,0,most_selective,political science,other,none,social sciences,other,none,other,292,290,300,398,-0.000889503,42,42,October,0,1,1
933,2015-16,3.9,0,more_selective,sociology,english,none,social sciences,humanities,none,school 221,284,293,289,389,0.269088711,24,24,October,0,1,1
934,2015-16,3.16,0,more_selective,psychology,none,none,social sciences,none,none,school 221,227,194,296,336,0.112902166,39,39,October,0,0,1
935,2015-16,2.93,1,more_selective,other,none,none,other,none,none,other,293,278,289,375,-0.213422936,24,24,October,23,1,1
938,2015-16,3.03,1,most_selective,biology,none,none,stem,none,none,other,292,294,293,441,-0.38429596,14,14,October,1,0,1
942,2015-16,3.17,0,more_selective,political science,spanish,other,social sciences,humanities,other,other,182,269,267,348,-0.090628187,14,14,September,0,1,1
944,2015-16,3.77,0,unknown,other,none,business,other,none,business,other,259,299,298,379,0.221783608,10,10,October,0,0,1
949,2015-16,2.7,0,more_selective,education (general),none,none,education,none,none,other,244,242,150,320,-0.396382952,10,9,October,0,0,1
952,2015-16,3.58,0,more_selective,other,sociology,none,other,social sciences,none,other,206,289,293,367,-0.075738808,44,44,October,3,0,1
953,2015-16,3.48,0,more_selective,other,political science,other,other,social sciences,other,other,223,272,291,313,0.297346782,1,1,September,0,1,1
957,2015-16,2.79,0,unknown,psychology,none,none,social sciences,none,none,other,297,263,262,367,0.309360736,45,45,October,0,0,1
959,2015-16,3.68,1,more_selective,biology,economics,other,stem,social sciences,other,other,293,293,274,408,-0.152461645,40,40,September,7,0,1
967,2015-16,3.61,0,more_selective,communications,none,psychology,business,none,social sciences,other,290,265,198,368,0.024124778,30,30,October,1,0,1
974,2015-16,3.55,1,most_selective,other,none,none,other,none,none,other,295,274,274,428,-0.094268586,25,25,October,2,0,1
975,2015-16,3.37,0,most_selective,other,none,education (general),other,none,education,other,274,295,296,416,-0.029664329,32,32,October,0,0,1
982,2015-16,2.67,1,more_selective,other,biology,psychology,other,stem,social sciences,other,279,91,298,322,-0.376583456,0,0,October,0,0,1
993,2015-16,3.92,0,selective,history,none,other,humanities,none,other,other,292,297,288,418,-0.31879114,1,1,August,0,0,1
994,2015-16,3.37,0,most_selective,other,none,none,other,none,none,other,292,283,291,417,-0.347860482,43,43,October,0,0,1
1001,2015-16,3.22,0,more_selective,english,none,history,humanities,none,humanities,school 221,295,214,287,347,0.178521067,0,0,October,0,0,1
1005,2015-16,3.12,0,more_selective,other,communications,none,other,business,none,other,296,293,174,373,0.431727029,26,26,October,1,1,1
1007,2015-16,3.63,0,more_selective,education (elementary),none,none,education,none,none,other,249,205,286,322,-0.096679735,27,27,October,8,0,1
1008,2015-16,3.43,0,more_selective,other,none,none,other,none,none,school 401,296,295,297,374,0.798959031,100,84,October,0,0,1
1009,2015-16,3.34,0,more_selective,political science,international studies/relations,none,social sciences,social sciences,none,other,294,248,247,352,0.234706752,18,18,August,0,1,1
1011,2015-16,3.95,0,most_selective,other,other,none,other,other,none,school 488,293,294,289,426,-0.366375434,2,2,September,0,0,1
1017,2015-16,3.63,0,more_selective,psychology,none,communications,social sciences,none,business,other,241,214,296,356,-0.11334687,34,21,August,3,0,1
1025,2015-16,3.66,0,unknown,other,none,history,other,none,humanities,other,295,282,296,372,-0.317488208,492,49,September,0,1,1
1026,2015-16,3.49,0,more_selective,sociology,none,none,social sciences,none,none,other,294,301,299,407,-0.117612291,24,24,October,0,1,1
1038,2015-16,3.57,0,most_selective,other,none,spanish,other,none,humanities,school 1337,296,293,296,455,0.352979976,81,81,October,8,1,1
1039,2015-16,3.06,0,more_selective,english literature,none,none,humanities,none,none,other,200,288,228,339,0.246896172,72,17,August,0,0,1
1044,2015-16,3.73,0,unknown,education (elementary),none,none,education,none,none,other,165,299,95,231,0.850695755,7,7,October,7,0,1
1045,2015-16,3.97,0,selective,other,spanish,none,other,humanities,none,school 720,266,224,295,375,0.376557639,80,80,October,1,0,1
1046,2015-16,3.32,0,more_selective,philosophy,other,none,humanities,other,none,other,263,286,250,382,0.158655615,10,10,October,-1,1,1
1050,2015-16,3.74,0,most_selective,economics,other,education (general),social sciences,other,education,school 1337,292,297,252,372,-0.066359258,5,5,October,1,1,1
1052,2015-16,3.7,0,selective,education (elementary),none,none,education,none,none,other,276,257,187,279,0.604031964,10,10,October,1,0,1
1057,2015-16,3.88,1,more_selective,other,none,none,other,none,none,other,282,298,272,411,0.523853639,17,17,October,7,1,1
1068,2015-16,3.28,0,most_selective,other,none,education (general),other,none,education,school 488,284,219,155,263,0.353692838,19,19,August,-1,0,1
1079,2015-16,3.5,0,most_selective,other,sociology,other,other,social sciences,other,school 1337,297,294,297,395,0.020805754,136,81,October,0,1,1
1085,2015-16,3.42,0,more_selective,economics,none,other,social sciences,none,other,other,284,289,296,351,0.362751833,18,18,August,0,1,1
1088,2015-16,3.64,0,most_selective,education (elementary),psychology,none,education,social sciences,none,other,287,289,296,411,-0.131338663,17,17,October,1,1,1
1092,2015-16,3.37,1,most_selective,sociology,mathematics,none,social sciences,stem,none,other,170,179,278,284,0.145628663,29,29,October,-1,0,1
1093,2015-16,3.46,0,more_selective,communications,none,other,business,none,other,other,296,256,273,387,-0.132811354,22,15,August,0,0,1
1100,2015-16,3.76,0,less_selective,criminal justice,none,psychology,social sciences,none,social sciences,other,295,260,290,325,-0.134776977,5,5,October,1,0,1
1107,2015-16,3.76,0,most_selective,other,none,other,other,none,other,other,224,290,225,347,-0.267124367,24,24,October,2,0,1
1108,2015-16,3.8,0,more_selective,sociology,history,none,social sciences,humanities,none,other,249,277,90,312,-0.324938659,2,2,August,1,0,1
1129,2015-16,3.87,0,most_selective,history,none,none,humanities,none,none,other,292,295,299,380,-0.167896371,182,31,September,2,0,1
1130,2015-16,3.63,0,more_selective,other,none,other,other,none,other,other,275,285,287,393,0.411023202,26,26,October,6,0,1
1133,2015-16,3.78,1,most_selective,spanish,other,other,humanities,other,other,other,299,291,294,390,-0.647814357,35,35,October,0,1,1
1148,2015-16,3.91,0,more_selective,other,none,other,other,none,other,other,237,273,220,339,0.408694839,109,77,October,0,0,1
1151,2015-16,3.22,0,more_selective,english,none,none,humanities,none,none,other,292,296,280,396,0.20140749,2,2,October,0,0,1
1152,2015-16,3.25,0,more_selective,psychology,international studies/relations,other,social sciences,social sciences,other,other,239,290,292,402,-0.225146939,0,0,October,-1,1,1
1158,2015-16,2.79,1,most_selective,biology,sociology,business,stem,social sciences,business,school 1839,296,297,299,368,-0.146517846,2,2,October,0,0,1
1159,2015-16,2.86,1,most_selective,biology,other,none,stem,other,none,other,294,297,295,426,0.195610699,1,1,September,0,0,1
1171,2015-16,3.41,0,most_selective,political science,none,other,social sciences,none,other,other,285,292,294,380,-0.327043206,7,7,October,1,0,1
1174,2015-16,3.85,0,more_selective,sociology,international studies/relations,spanish,social sciences,social sciences,humanities,other,295,295,290,412,0.083571027,77,77,October,0,0,1
1178,2015-16,3.39,1,unknown,biology,none,spanish,stem,none,humanities,foreign university,294,297,295,421,0.032576845,117,64,October,18,0,1
1196,2015-16,3.25,0,more_selective,other,none,none,other,none,none,school 1096,259,292,298,347,0.452847286,21,21,August,0,0,1
1210,2015-16,3.85,1,most_selective,other,none,none,other,none,none,other,280,295,271,399,-0.185428586,30,30,October,5,0,1
1231,2015-16,3.6,0,selective,other,none,none,other,none,none,other,296,293,297,363,0.394708417,31,31,October,0,0,1
1238,2015-16,3.88,0,more_selective,other,none,education (general),other,none,education,other,297,283,274,380,-0.137563538,2,2,October,0,1,1
1245,2015-16,3.12,0,most_selective,other,none,none,other,none,none,other,298,294,297,402,0.638129636,17,17,August,0,0,1
1248,2015-16,3.73,0,more_selective,english,psychology,none,humanities,social sciences,none,other,298,291,288,372,0.278026579,23,23,October,9,1,1
1253,2015-16,3.48,0,selective,other,none,other,other,none,other,school 1653,151,231,135,268,-0.350948567,39,39,October,38,0,1
1258,2015-16,3.37,1,more_selective,chemistry,none,other,stem,none,other,school 221,290,293,293,420,0.025900137,30,30,September,0,1,1
1264,2015-16,3.64,0,more_selective,psychology,english literature,none,social sciences,humanities,none,other,297,295,299,327,0.854289376,213,2,October,0,1,1
1268,2015-16,3.3,0,unknown,english literature,other,none,humanities,other,none,foreign university,293,294,210,367,0.266006753,67,67,October,0,0,1
1280,2015-16,3.44,0,more_selective,other,none,psychology,other,none,social sciences,other,279,295,298,385,0.54832049,11,11,September,1,1,1
1281,2015-16,3.28,0,more_selective,english,none,other,humanities,none,other,other,294,287,295,347,0.333852016,60,60,October,14,1,1
1282,2015-16,3.89,0,selective,other,marketing,spanish,other,business,humanities,other,207,199,296,305,0.327956396,5,5,August,2,0,1
1284,2015-16,3.26,0,more_selective,other,none,none,other,none,none,other,297,296,296,411,-0.167020376,19,19,October,6,0,1
1285,2015-16,3.16,0,more_selective,political science,none,education (general),social sciences,none,education,school 1673,295,291,32,263,0.582405659,63,63,October,0,1,1
1291,2015-16,3.3,1,unknown,other,none,none,other,none,none,other,195,239,281,320,-0.147046259,140,18,August,17,0,1
1292,2015-16,3.66,0,most_selective,other,none,other,other,none,other,other,227,295,279,363,0.217511642,16,16,September,2,0,1
1309,2015-16,3.42,0,most_selective,other,none,other,other,none,other,other,292,294,212,391,0.149314947,48,21,August,0,0,1
1310,2015-16,3.73,0,most_selective,sociology,none,none,social sciences,none,none,other,282,279,219,375,-0.015007427,1,1,September,0,1,1
1311,2015-16,3.66,0,most_selective,other,none,other,other,none,other,other,271,286,273,413,0.00209099,2,2,October,0,0,1
1318,2015-16,3.17,0,more_selective,history,none,education (general),humanities,none,education,other,273,276,286,397,0.031895089,8,8,October,0,0,1
1319,2015-16,3.01,0,selective,other,spanish,other,other,humanities,other,school 720,293,290,200,377,-0.258731487,79,79,October,-1,1,1
1327,2015-16,2.74,0,more_selective,other,none,none,other,none,none,other,294,297,291,448,-0.111247157,46,46,October,0,0,1
1328,2015-16,3.19,0,more_selective,education (elementary),none,none,education,none,none,other,295,227,256,300,0.390280593,18,18,October,2,0,1
1333,2015-16,3.19,0,selective,other,none,none,other,none,none,other,81,81,42,131,0.622132147,120,9,August,3,1,1
1336,2015-16,3.2,0,most_selective,international studies/relations,other,other,social sciences,other,other,other,294,238,230,403,0.377672244,4,4,October,0,0,1
1341,2015-16,3.74,0,more_selective,other,none,education (general),other,none,education,school 401,291,292,296,386,-0.182636685,1,1,October,0,0,1
1345,2015-16,3.6,0,more_selective,english,none,none,humanities,none,none,other,271,275,231,375,-0.373037579,28,21,August,0,0,1
1369,2015-16,4,0,more_selective,spanish,other,none,humanities,other,none,other,296,288,294,427,-0.169514053,72,72,October,0,1,1
1375,2015-16,3.23,0,more_selective,political science,communications,none,social sciences,business,none,other,295,272,281,382,-0.39668569,17,17,October,0,0,1
1382,2015-16,3.5,0,selective,education (elementary),none,none,education,none,none,other,291,164,143,251,0.282471107,24,24,October,21,0,1
1386,2015-16,3.35,0,more_selective,other,none,spanish,other,none,humanities,other,246,284,295,354,0.33616383,2,2,September,-1,0,1
1390,2015-16,3.4,0,more_selective,education (elementary),spanish,none,education,humanities,none,other,238,295,253,307,0.42520528,49,49,October,0,0,1
1401,2015-16,3.87,0,more_selective,education (elementary),none,none,education,none,none,school 1533,284,294,299,391,0.092389463,40,40,October,1,0,1
1405,2015-16,3.6,0,more_selective,other,none,none,other,none,none,other,274,288,294,422,-0.09515208,1,1,October,0,0,1
1410,2015-16,3.11,1,more_selective,economics,political science,mathematics,social sciences,social sciences,stem,other,150,253,160,258,0.085294581,46,46,October,18,1,1
1425,2015-16,3.57,0,more_selective,political science,none,none,social sciences,none,none,other,299,294,295,366,0.091308161,55,55,October,0,0,1
1426,2015-16,3.39,0,less_selective,other,none,none,other,none,none,other,195,120,111,241,1.018866684,-1,-1,October,-1,0,1
1428,2015-16,3.64,0,more_selective,other,none,none,other,none,none,other,297,292,293,425,0.084094399,108,80,October,0,0,1
1429,2015-16,3.86,0,selective,psychology,none,english,social sciences,none,humanities,other,278,280,288,385,0.085858959,87,18,August,2,0,1
1439,2015-16,2.7,0,more_selective,sociology,none,none,social sciences,none,none,other,291,189,213,283,0.275916458,6,6,October,0,0,1
1442,2015-16,3.11,0,more_selective,other,none,none,other,none,none,other,175,139,117,221,0.326700941,30,30,October,23,0,1
1444,2015-16,3.35,0,less_selective,education (secondary),none,other,education,none,other,other,196,281,155,277,0.574805683,41,38,October,37,0,1
1445,2015-16,3.22,0,less_selective,other,none,none,other,none,none,other,287,291,274,441,-0.089713221,35,21,August,0,0,1
1449,2015-16,2.96,0,more_selective,sociology,none,other,social sciences,none,other,school 423,275,292,142,301,0.383492461,24,24,October,3,0,1
1461,2015-16,3.4,0,least_selective,communications,journalism,none,business,business,none,other,299,234,85,289,0.330757691,36,36,October,36,0,1
